,stem,class,ergative,plural,translation
1721,маьгъуьш,I,маьгъуьшли,ла,уст. аульный глашатай
1722,маьгь,III,маьгьли,ла,"запах; кIетIо маьгь хороший запах, приятный запах; диъилāс маьгь запах цветов; зизā холос маьгь запах жареного мяса; нӣйоди маьгь а) неприятный запах, смрад, вонь, зловоние б) какойто запах; маьгь бахъал а) пахнуть б) вонять; маьгь тIутIал чувствовать запах (букв. запах бросать); маьгь тIутIлал нюхать (букв. запах заставить бросать); маьгь болъал пройти (о запахе); маьгь бикъелал определить запах; нюхать"
1723,маьгьаьл,III,маьгьаьлли,ла,уст. 1) настроение 2) желание; см. илаз
1724,маьгьлаь,III,маьгьлаьли,а,"1) квартал, участок 2) двор; илла маьгьлаьлиъ тели къова гей в нашем дворе много детей (есть); маьгьлаьлиъис онз йолъолал со двора убрать снег; см. беж"
1725,маьд,IV,маьдли,ла,"тавро, метка (на кончике уха мелкого рогатого скота ); аьнгъаьнлаькьаь маьд йовал делать метку (на кончике уха)"
1726,маьдоь,IV,маьдоьли,ва,"мадо (большая  доска, служащая в качестве стены для амбара баькье)"
1727,маькаь,IV,маькаьли,а,полушубок без рукавов; абос келло маькаь старый полушубок отца; маькаь йаьнхъаьл шить полушубок ♦ маькаьроь рейаклал нуцIос (хаш.) придется драться (бороться) (букв. должны сбрасывать шубы)
1728,маьржоь,IV,маьржоьли,а,бот. вех ядовитый
1729,маьрхъаьли,IV,маьрхъаьлийа,йа,большая вязанка дров; маьрхъаьли йовал делать вязанку дров ma
1730,маьхъ,III,маьхъли,ла,"опорный столб; йанкъойцIовā маьхълаь прямые опорные столбы; маьхълаь хāьлIаьл установить опорные столбы ♦ маьхъ ахъна эцал прям. и перен. стоять как столб (о  человеке, который твердо стоит на своем)"
1731,маьче,III,мица,маьчейа,"1) земля 2) земельный участок; болIоцас маьче пахотный участок; сукIос маьче чужие земли; маьче болIал пахать землю; маьче битIал делить земельные участки ♦ сидкъон хаьбаьлаьш маьче близкое расстояние (букв. место в одиндва шага); маьче (//дуннал) лахлIал трясти землю, произойти землятрясению (букв. место или вселенная шевелиться); мицаъас мотIо багъечIе огьдāл работать (трудиться) очень много (букв. от земли лицо не отделив работать) ▲"
1732,маьчебагъōлъи,IV,маьчебагъōлъила,йа,игр. мачебаготли (название детской игры; букв. «захват земли»)
1733,ракь,III,ракьли,йа,"земля вообще (букв. место, земляземля)"
1734,маьчIаьри,III,маьчIаьрийа,йа,кул. молодое вино; маьчIаьри багъал (// бовал) делать вино; маьчIаьри хулIал пить молодое вино
1735,маьшгъуьллъи,IV,маьшгъуьллъила,йа,"занятость, увлеченность; аьдаьмлис маьшгъуьллъи увлеченность человека"
1736,маьшгьуьрлъи,IV,маьшгьуьрлъила,йа,"популярность, известность; знаменитость; маьшгьуьрлъи гаьгьийо сукIо известный человек; маьшгьуьрлъи гаьгьийо артист популярный артист"
1737,маьъаьруьлаьв,I,маьъаьруьлаьвли,ла,аварец; см. бархъав
1738,маьъаьруьлаьй,II,маьъаьруьлаьйли,ла,аварка; см. бархъай
1739,маьъаьруьллъи,IV,маьъаьруьллъила,ла,1) горцы 2) аварцы 1) территория проживания горцев (//аварцев); маьъаьруьллъилас аьдаьтлаь обычаи горцев (// аварцев)
1740,маьъишат,III,маьъишатли,ла,"быт, жизнь; хозяйство; материальное положение; билIоъос маьъишат домашний быт; аьдаьмлāьш маьъишат жизнь (быт) людей; маьъишат бовал // маьъишатлигъой икьеаькьаьл жить, вести хозяйство ♦ маьъишатликьа шаьйтIаьнчоьй утIна эцал как"
1741,маьънаь,III,маьънаьли,а,"смысл, значение; маьънаь биджи бахъийо смысл ясен 2) толк; маьънаь гаьччоь сукIо бестолковый человек"
1742,маьъуьчIаь,III,маьъуьчIаьли,а,"1) дом, где умер человек 2) плач по умершему; маьъуьчIаь бовал совершить поминальный обряд, устраиваить поминки (читая разные молитвы по усопшему)  247"
1743,мевли,I,мевлийа,йа,уст. сельский сторож полей
1744,мезези,III,мезезийа,йа,"плач ребенка, капризы; мезезийахъ къова капризный ребенок; мезези бовал капризничать; мезезийа йегабалал капризничать (букв. капризы показывать)  248"
1745,мекълъи,IV,мекълъила,йа,"1) непослушание; упрямство; норов; мекълъилахъ сукIо а) непослушный (упрямый) человек б) хулиган 2) хулиганство 3) вред; неправота; мекълъи йовал а) навредить б) хулиганить, допускать проступки в) не послушаться; мекълъи йегалал а) показать свою неправоту б) показать свои отрицательные стороны; мекълъи н йу цал скрывать чьел. хулиганство (неправоту)"
1746,мекIо,IV,мекIоли,йа,бот. клевер луговой
1747,мел,IV,мелли,ла,мел; гьаьлдийо мел мел белого цвета; меллид чахдāл писать мелом
1748,месед,IV,меседли,ла,золото; йанцō месед чистое золото; меседлис кIоьййаь золотое кольцо; меседлис аьнгъаьнлаьлъчāь золотые серьги; меседлис аьнгаь золотой браслет ♦ меседлис кōда золотые руки (кто умеет
1749,мета,III,метали,а,"мета (четырехгранная балка, которая  кладется между первым и вторым этажами); метā гувалал (// рекъази йовагьал) установить четырехгранные балки; см. йажо"
1750,метра,IV,метрали,а,метр; метра гъечIис (//гъечIилас) метр ткани; кунталал лъана метра гъечIис оьллоь для платья три метра ткани хватило; билIос йихалолъи ацIона лъина метра гей длина дома – пятнадцать метров (есть)
1751,метрикIа,IV,метрикIали,а,"метрика, свидетельство о рождении; оьждис метрикIа свидетельство о рождении сына; метрикIа йокчал получить (брать) свидетельство о рождении"
1752,метугъе,III,метугъели,йа,"большой поднос; метугъелиъ хо гулал положить мясо в большой поднос; см. рецIа, тIабакIо"
1753,мех,III,мехли,йа,"1) время, пора; хискьас мех утро, утреннее время; нишеш мех вечернее время; ночное время; мех гаьъаь нет времени (возможности); мех гаьчIелаъ когда нет времени, в цейтноте; мех мейал попусту тратить время; мех багъал отнять время; мех мекьал идти (о времени); гьоглIо мехлаъ в то время 2) сезон; цIо йекIелцас мех мокъойо наступил отопительный сезон ♦ мех мокъойо а) наступило (настало) время б) стала совершеннолетней в) наступило (настало) время рожать; мех мекьейо сукIо пожилой человек (букв. время ушедший человек); мех къази бахъал наступить (о зиме) (букв. время крепиться; мех чIаьйкаьл просрочиться (о времени; напр., для намаза) ▲"
1754,мехайкIо,IV,мехайкIоли,ва,нагрудное женское украшение; мехайкIовāс гъейо йоцIна грудь увешана украшениями
1755,мецI,IV,мецIли,ла,луг (хаш.); мецIлиъ гьаьймаьн боцIал погнать скот на луг; мецIлиъ боцIи бесца на лугу пасется мелкий рогатый скот
1756,мечет,III,мечетба,ба,"обруч, обод (для бочек); боьчIкIаьлаьл мечетба рекъази йовагьал на бочку надеть обода (обручи)"
1757,меъ,III,меъли,ла,"кокетничание; кокетство; меъла йовагьал кокетничать; меъла йегабалал показать кокетство, кокетничать"
1758,мигъа,IV,мигъа,рол,коса (женская) (тляд.); см. мигълатIо
1759,мигъалъсо,IV,мигъалъсоли,ва,деталь сбруи (букв. подхвостник); кьаьйкъеналис мигъалъсо подхвостник седла; мигъалъсо йенхелал надевать подхвостник
1760,мигьмар,III,мигьмарли,ла,рел. минбар (возвышение в мечети для произношения проповеди); алтарь
1761,мигьна,III,мигьнали,а,"зоол. 1) птица; мигьналис лIапан птенец; мигьналис гьабода крылья птицы; чIуьгьаьраьб мигьна красивая птица; мигьна богицIийо птица полетела (улетела) 2) воробей ♦ мигьна бохаллъийо йакIо приподнятое настроение (букв. птицу ловить желающее сердце); мигьнас аьдаьнаь гей (//йахъал) иметь все в достатке (в достаточном количестве) (букв. есть, иметь даже мозги птицы)"
1762,чIихъ,III,чIихъли,а,зоол. птицы (стая)
1763,мизги,III,мизгила,а,гарнцевый сбор (за помол зерна); см. магъало
1764,мизна,IV,мизнали,а,граница; мизна гулал установить границу
1765,мизо,III,миза,а,"земля, глина; цIодоло мизо черная земля; мизо баьхаьл копать землю; мизакьа кьодо эцал стоять на земле ♦ пайда гаьччоь мизо неплодородная земля; мизаъ голал похоронить (букв. положить в землю)"
1766,мийе,III,"['мийе', 'мийели', 'мийеда']",а,"бот. береза; мийеш (//мийедас) хоьхоь березовое дерево; мийеш ван березняк, березовая роща: мийеш кьокькьо березовые доски ♦ мийела гьудас аьлделъийо овал букв. делать таким, как березовая ветка (так говорят о человеке, который трудно исправляется) ▲"
1767,микъишо,III,микъиша,микъишаро,зоол. двухвостка (тляд.)
1768,микьо,III,микьоли,микъишаро,бот. вьюнок полевой
1769,микIе,III,микIеда,да//йа,1) бревно; макъойцIойо микIе прямое (ровное) бревно; микIе сусал заготовить бревна 2) перен. толстяк ♦ микIедад микIе баьгъелал клин клином вышибать (букв. бревном бревно расколоть)
1770,мила,IV,милали,а,1) жало 2) удар задней ноги животного; мила йаькьелал а) жалить б) лягаться; соййа мила йаькьело конь лягнул
1771,милицианер,I,милицианерли,ла,милиционер; милицианерлис паголла погоны милиционера; см. палицийав
1772,милк,III,милкли,ла,уст. собственность
1773,миллатчилъи,IV,миллатчилъила,ла,национализм
1774,милъин,IV,милъина,а,подол; милъинаъ йанкъал принести в подоле; милъин йоцIийо гени полный подол груш
1775,милъо,IV,милъоли,да,"анат. 1) ноготь; зокьис милъо ноготь пальца; милъода йуьваьчIаьл резать (стричь) ногти 2) коготь; цунгьалис милъо коготь орла ♦ милъонас жо йогьна гаьъаь ничего не сделал, ничем не помог (букв. даже на уровня ногтя вещь не сделал)"
1776,минара,III,минарали,а,рел. минарет (высокая башня в мечети); минаралкьа кьодокал//минаралкьа кьодо энкьал подняться на минарет
1777,миннат,III,миннатли,ла,"мольба, просьба; миннат бовал просить, умолять; миннатла йовагьиллал заставить просить; см. гьари"
1778,минтIи,III,минтIила,йа,гайка; минтIи кIаьйлIоьлаьл // минтIи кьурзи бовал крутить гайку; минтIи багъал развинчивать гайку; минтIи къази бовал завинчивать гайку до конца
1779,минтIукIа,IV,минтIукIали,а,уст. винтовка; бадōлъолāс минтIукIа старая винтовка; минтIукIа тIутIал стрелять из винтовки; см. топи
1780,минут,III,минутба,ба,"минута; гьонс минут одна минута; лъин минутбаъ лъикъолло за пять минут закончил ♦ минутбас гьаьлтIи недолгая работа (букв. минутная работа); сид минутбаъ быстро, моментально (букв. в одну минуту)"
1781,мисал,III,мисалли,ла,1) пример; образец; мисал бакъал привести пример; мисал бегалал показать пример 2) мат. пример; мисал бовал решить пример; мисал бовал малъци бовал научить решать примеры
1782,мискинлъи,IV,мискинлъила,ла,"обеднение, обнищание, нужда, бедность; мискинлъи йегāл испытать бедность; илол мискинлъи йегайэс мы не испытали бедность; мискинлъи гьарзи йовал приносить бедность своим бездействием (пассивностью) ▲"
1783,мискъал,IV,мискъалла,ла,"уст. золотник (равен 4,26 г.)"
1784,мисо,III,"['миса', 'мисоли']",ла,песок; энхеш мисо речной песок; хъохъō мисо сухой песок; мисас маьче песчаная почва ♦ мисовāъ йогийāцIал голову потерять (букв. в песок выпрыгивать)
1785,мисрийав,I,мисрийавли,ла,уст. египтянин
1786,мисрийай,II,мисрийайли,ла,уст. египтянка
1787,митIкIали,IV,митIкIалийа,ла,миткаль; митIкIалийас мухун рубашка из миткаля; митIкIали састIулийакьа йенйал сшить наволочку из миткаля для подушки
1788,мих,IV,михли,ла,"бронза (хаш.); см. мазгар, йез  252"
1789,михъā,III,михъāйа,йа,"анат. спина; макъойцIойо михъā ровная спина гъоддо михъā горбатая спина; михъāкьа утIал лежать на спине; михъā макъойцIолал выпрямить спину; михъā муькъоьлаьл согнуть спину; михъā кIокIал болеть (о спине) ♦ михъā бегалал уйти, улизнуть, уходить с какойлибо работы (букв. спину показать); михъā бишелал трудиться (работать) много (букв. спину ломать); михъā макъойцIолечIе огьдāл работать не покладая рук (букв. работать не выпрямляя спину); михъā тил тухълал надеяться, опираться на когол. чувствовать опору (букв. спину прислониться); михъāгъас маьче задняя сторона чегол. (букв. место со стороны спины); михъāйакьа эйазал прям. и перен. таскать когол. на спине; михъāлI агъал (//аькьелаьл) обмануть, провести, надуть (букв. перекинуть через спину); михъāъ охал простудиться, болеть ревматизмом, болеть остеохондрозом (букв. в спину держать); дунйаллила михъаракьас жо рекIал (хаш.) говорить (высказать) все (и хорошее, и плохое) (букв. со спины света вещь говорить) ▲"
1790,михъо,III,михъоли,"ва,да","бревно, бревна; бихало михъо длинное бревно; михъо буьчIаьл рубить бревна; михъо мокъолал доставить бревна; довезти бревна до дома ♦ бичейо михъоцой очал идти очень быстро (букв. как обтесанное бревно убежать)"
1791,мицахъанлъи,IV,мицахъанлъила,"ва,да","занятие жалобщика (клеветника, сплетника); мицахъанлъи йовал заниматься доносами, клеветой, ябедничать, сплетничать"
1792,мицна,III,мицнали,а,"анат. колено; мицнā кIовакIос колени болят ♦ мицнāкьа эцал а) стать на колени; стоять на коленях б) быть (находиться) в унизительном положении; мицнāкьа эчена гьардизи ахъал умолять, сильно просить (букв. просить став на колени)"
1793,мицодāхъо,IV,мицодāхъоли,а,шерстяная пряжа (в три тонкие нитки)
1794,миъмат,III,миъматли,ла,"благо, благодать; благоденствие; гьолIоъ гаьгьийо миъмат! какая тут благодать!"
1795,мӣна,III,мӣнали,ро,зоол. цыпленок (тляд.); гуьдиш мӣна цыпленок; см. чIучIули
1796,моге,III,могели,йа,"поношенные, порванные бежтинские шерстяные сапоги; см. гьаькIаь"
1797,могь,III,могьи,йа,целебный источник; минеральный источник; могьис лъи минеральная вода; баьчIчIоь могь холодный источник; могьиъ бецал отдыхать (лечиться) в целебном источнике
1798,модадо,III,модадоли,йа,"бот. белена ♦ модадāхъиъ энкьакъона зогъал умереть захотелось, что ли (букв. наверное не хочешь идти туда, где растет"
1799,мокъола,III,мокъолали,ро,"большая игла, цыганская игла 2) шило (тляд.); см. мукъала"
1800,момола,III,момолали,а,"прыщ, прыщик; нуьшшāь момолā прыщики; момолā йāхъал появиться (о прыщиках); момолāс боцIийо мотIо прыщавое лицо"
1801,море,III,морела,йа,"бревно (стройматериал); см. йажо, микIе, михъо"
1802,мотIо,III,мотIоли,ва,"1) анат. лицо, морда; кIетIо (// кьухъийо) мотIо приметное лицо; мотIо низāл умываться, умыться 2) носик носка; цIиндалас мотIо носик носка; мотIо муьхоьлълаьл начать вязать носик шерстяного носка (букв. носик начать) ♦ мотIа бовал а) взять носок носка б) выпить спиртное в) быть недовольным, выразить недовольство (букв. делать лицо); мотIо бохал ссориться, обидеться, не разговаривать, обидевшись; держаться в отношениях с кемл. неприязненно (букв. лицо держать); мотIо бохал хабар бахъал представиться случаю, чтобы прекратить общение (букв. лицо дер  254 жать разговор стать); мотіо хуьжаьл измениться в лице, измениться настроению (характеру) (букв. лицо поменять); мотIолиъ мехелал ударить в лицо, дать пощечину (букв. прикоснуться к лицу); мотIолиъ нисал говорить (сказать) прямо в лицо, ударить словом в лицо (букв. в лицо сказать); мотIолиъ ниц гаьччоь сукIо бесстыжий человек, бессовестный человек (букв. в лице стыд не имеющий человек); мотIолиъ туьлIаьл обидеть, оскорбить (букв. плюнуть в лицо); мотIолиъ хаьлIаьл прямо (открыто) в лицо сказать, упрекнуть (букв. в лицо воткнуть); мотIолиъ цIудолъал покраснеть, залиться краской (букв. на лице покраснеть)"
1803,къаьм,III,къаьмли,ла,"облик, физиономия (букв. лицоголова); мотIокъаьм низāл умываться (букв. физиономию мыть)"
1804,моьгьоьре,III,моьгьоьрейа,йа,"мера жидкости в пять литров ♦ моьгьоре баькьелал объедаться, переедать, сильно наедаться (букв. большую тарелку ударить, бить)"
1805,моькьоь,III,"['моькьоьли', 'моькьи']",ва,клюв; гуьдис моькьоь клюв курицы; цунгьалис моькьоь орлиный клюв; билIā моькьоь крепкий клюв; моькьоь баькьелал клюнуть
1806,моьхāь,III,моьхāьйа,йа,чашечка для веретена; ванас моьхāь деревянная чашечка
1807,моьчIоьй,III,моьчIоьйли,ба,клин (об одежде); кунталас моьчIоьй клин платья
1808,моьшоькIи,III,моьшоькIийа,йа,мешок; хъибас моьшоькIи мешок пшеницы; моьшоькIийаъас гьаьтIтIоь йокчал взять муку из мешка 2) перен. мешок муки; копаратийаъас къона моьшоькIи (//гьаьтIтIаьш) бохал купить в магазине два мешка муки ▲
1809,моьшоькIийāхъо,IV,моьшоькIийāхъоли,йа,пряжа (из которой ткут мешки)
1810,мугува,III,мугували,а,чарики (разновидность лаптей – обувь на кожаной подошве)
1811,мугъуттоь,III,мугъуттоьли,ва,зоол. белка (хаш.); см. цикъи
1812,мугьру,III,мугьрули,ва,"печать; мугьру баькьелал ставить печать, заверить печатью, удостоверить, скрепив печатью (букв. печать ударить)"
1813,муд,III,мудли,ла,пригоршня; къона муд хъибас две пригоршни пшеницы
1814,музикIа,III,музикIали,ла,музыка; музикIалис гьокI звуки музыки; музикIалхъа энекзи ахъал слушать музыку; музикIа баькьелал сыграть песню (букв. сыграть музыку)
1815,мук,III,мукли,ла,"дерн; мук мейал обложить дерном; мук багъал (// буьчIаьл) нарезать дерн; мук мēйо майдан обложенное дерном поле (площадь) ♦ мукуъ гьунцадола много, полнымполно (букв. как муравьи в дёрне); мукуъ йенйал использовать (дать, выдавать) кудал. или гдел. (чтобы избавиться, освободиться, отвязаться) (букв. в дерн пускать)"
1816,мука,III,мукали,а,"кусок толстой веревки, бечева; маьшшоь мука небольшой кусок толстой веревки; мукалид моьшоькIийас сикIо йинцал завязать мешок толстой веревкой"
1817,мукаъат,III,мукаъатли,ла,"польза, выгода; см. мумпаъат"
1818,мукъ,III,мукъли,ла,кол; гьудас мукъ деревянный кол; мукъ баькьелал забить кол; мукъ багъал вытащить кол
1819,мукъала,III,мукъалали,а,"большая игла, цыганская игла; мукъалалис аьнгъаьн игольное ушко; мукъала туцIолал вдеть нитки в цыганскую иглу; мукъалалид моьшоькIи маьхъаьл шить мешок большой иглой"
1820,мукъаъас,IV,мукъаъасли,ла,небольшой отрезок (кусок) нитки; мукъаъас наьпIчилаъ туцIолал вдеть нитку в иголку
1821,мукъо,III,мукъа,"ва,да",1) гвоздь; бихало мукъо длинный гвоздь; мукъодас къаьм шляпка гвоздя 2) кол; мукъо баькьелал а) забить гвоздь б) забить кол; мукъо багъал а) вытащить гвоздь б) вытащить кол
1822,мукъсанлъи,IV,мукъсанлъила,"ва,да","1) недостаток, нехватка, ограниченность 2) недостаток, изъян, дефект, несовершенство, дефектность, недостаточность; аьдаьмлис мукъсанлъи недостаток человека; мукъсанлъи гаьччоь гьаьлтIи работа без дефекта"
1823,мукьур,III,мукьурли,ла,"узел, завязка (начало вязания шерстяных носков); му"
1824,мокIол,III,мокIола,а,постель; тоьтило мокIол мягкая постель; мукIол готал постелить; мокIол болъолал убрать (собрать) постель ♦ жегун гьуги мукIолаъ гей а) он все еще лежит в постели б) перен. он все еще болеет (букв. еще он в постели находится) ▼
1825,мукIро,III,мукIроли,ва,башня; бихало мукIро высокая башня; бадōлъолāс мукIро старинная башня; билIовāл жена мукIрова йовагьца и теперь в домах башни строят (делают)
1826,мукIурлъи,IV,мукIурлъила,ва,"1) признание; дибо мукIурлъи твое признание; мукIур(лъи) ахъал признаваться, сознаваться 2) соглашение; согласие; дибола мукIурлъилаъкьā с твоего согласия;"
1827,мумпаъат,III,мумпаъатли,ва,"выгода, польза; мумпаъат гаьччоь бесполезный; мумпаъат бовал принести пользу; мумпаъат бокчал извлекать пользу; мумпаъат бахъал иметь пользу; см. мукаъат"
1828,мунагь,III,мунагьли,ла,"рел. грех; вина; мунагьлāс оцIийо сукIо грешный человек; мунагьла гаьччоь сукIо безгрешный человек; мунагьлāхъа гьицIаъцас сукIо человек, не боящийся грехов; мунагь бахъал грешить ▼"
1829,гьаькъ,III,гьаькъли,ла,"грех; мунагьгьаькълис агьло грешники (букв. греховное племя); мунагьгьаькълиъ кези ахъал оказаться в грехе, совершить греховное дело; см. мунагь"
1830,мур,III,мурли,ла,молотильная доска (хаш.); см. мой
1831,мураба,IV,мурабали,ла,варенье; шулдилас мураба варенье из кизила; легъилас мураба варенье из инжира; иле батIибатIайаб пихълāс мураба йовагьца мы делаем варенье из разных фруктов; мурабалгъой чай хулIал пить чай с вареньем
1832,мурид,I,муридли,ла,рел. мюрид (ученик высшего духовного наставника)
1833,муруват,III,муруватли,ла,пощада; великодушие; порядочность; муруват гаьгьийо сукIо великодушный (порядочный) человек; муруват гаьччоь сукIо грубый (хамовитый) человек (букв. порядочность не имеющий человек)
1834,муруватлъи,IV,муруватлъила,ла,великодушие; порядочность; муруватлъи йегалал показать (свою) порядочность
1835,мусаннит,IV,мусаннитли,ла,кIигьматас мусаннит отвес из нитки (лески); н йо солъ мусаннит йохолал (// йенхелал) установить отвес на стене; см. шойни (хаш.)
1836,мусро,III,мусрола,ва,"саван; мусролас гъечIи материал для савана; мусро кIаьйлIоьлаьл заворачивать в саван ♦ мусро мехелал а) надеть саван, обернуть саваном б) перен. похоронить, предать земле (букв. саван надеть)"
1837,мутака,III,мутакали,а,валик (дивана); билIā (//къоькъило) мутака жесткий валик; тоьтило мутака мягкий валик; къолI мутака гулал положить валик в изголовье
1838,мутаъалимлъи,IV,мутаъалимлъила,а,рел. ученичество
1839,мутIиълъи,IV,мутIиълъила,а,1) согласие 2) признание 3) подчинение; оьждис мутIиълъи а) согласие сына б) признание сына в) подчинение сына
1840,мухбир,I,мухбирли,ла,корреспондент; мухбирлис макъала статья корреспондента; мухбирли кIетIо макъала чахийо корреспондент написал хорошую статью
1841,мухун,IV,мухуна,а,1) рубашка 2) ночная сорочка; чIугьараб мухун красивая рубашка (сорочка); йикьā гаьччоь мухун рубашка (сорочка) без рукавов; мухун лъицIал надеть рубашку (сорочку); мухун йагъал снять рубашку (сорочку) ♦ мухунала гезалкьа йакIос вспыльчивый (взрывной) человек (букв. с сердцем на пуговице рубашки)
1842,мухъ,III,мухъли,ла,"линия, черта; битIараб (// макъойцIō) мухъ прямая линия; чIекIдийо мухъ кривая линия; лIаьммоь мухъ тонкая линия (черта); мухъ багъал (// бовал) начертить линию, провести линию; мухълāьас тетрад тетрадь в линейку"
1843,муштукI,III,муштукIли,ла,мундштук; муштукIлиъ пIапIирос мейал (//гулал) вставить сигарету в мундштук
1844,муьгъ,III,муьгъаь,а,анат. задний проход
1845,муьгькаьнлъи,IV,муьгькаьнлъила,а,"1) тщательность, аккуратность 2) ясность, четкость; муьгькаьнлъи йахъал а) быть"
1846,муьжжоьлъи,IV,муьжжоьлъила,а,прогорклость; холос муьжжоьлъи прогорклость мяса
1847,муьжмаьр,IV,муьжмаьрли,ла,"1) пятница; муьжмаьр водо пятничный день 2) рел. джуманамаз, пятничная молитва в мечети; муьжмаьр йовал совершить пятничный намаз в мечети 3) рел. день подачи милостыни (подаяния); муьжмаьрлиъ садакъа йитIал (// йовал) дать подаяние (милостыню) в пятницу"
1848,муьжоьмаьгаьри,IV,муьжоьмаьгаьрийа,ла,"уст. прислужничество, услужение; муьжоьмаьгаьри йовал прислуживать"
1849,муькъоь,IV,"['муькъоьли', 'муькъоьли']",ва//даь,"бот. 1) злаки, урожай; муькъоь йокIолал собрать злаки, убирать урожай 2) ячмень; мукъоь йинзал посеять ячмень; муькъоь йагъогьал косить урожай ячменя ♦ рокъеэс муькъелъиро сукIо (хаш.) физически слабый (недоразвитый) человек (букв. как непоспевший урожай человек)"
1850,муькъоьйиᴴцо,IV,муькъоьйиᴴцоли,ва,жгутик из травы; см. кетIайинцо
1851,муьчIаьхъоь,IV,муьчIаьхъоьли,ва,шерстяная пряжа (в две нитки для вязания бежтинских сапог); см. муьчIоьдāьхъ
1852,муьчIоьдāьхъ,IV,муьчIоьдāьхъли,ва,"шерстяная пряжа (в две нитки для  вязания бежтинских сапог; тоньше, чем  аьнгъаьнлāьхъоь)"
1853,муьшаьхъ,IV,муьшаьхъаь,ва,"бот. сорго веничное, суданская трава"
1854,маьгь,III,маьгьли,ва,"запах (воздух) ♦ муьшоьмаьгь мехейо (// гаьгьийо) сукIо дальний родственник; человек, имеющий какието дальние родственные связи (букв. запахвоздух коснувшийся человек)  258"
1855,муьъаьлимлъи,IV,муьъаьлимлъила,ва,учительство; муьъаьлимлъи йовал  работать учителем; муьъаьлимлъилаъ огьдāл учительствовать; см. уьштеллъи
1856,нави,III,навила,йа,лодка; навилакьа кIаьйбаьлIаьл кататься на лодке
1857,нагъайав,I,нагъайавли,ла,ногаец
1858,нагъайай,II,нагъайайли,ла,ногайка
1859,нагьас,III,нагьасли,ла,кул. нагас (густая смесь из толокна с кефиром или кислым молоком)
1860,нагьлъи,IV,нагьлъила,ла,"долг, задолженность; йукъо нагьлъи большая задолженность, большой долг; нагьлъилаъ ахъал иметь долг, быть должным, оказаться должником (в долгу) (букв. в долг оказаться); нагьлъилаъ нилIал дать в долг (взаймы), одолжить, ссудить; нагьлъи нилIал вернуть долг; нагьлъи йоцIал погасить задолженность; нагьлъилāд оцIал влезать в долги; нагьлъилāд оцIолāл учащ. заниматься погашением долгов ♦ халкъилас нагьлъи свадьба (букв. долг народа) ▲"
1861,нажи,IV,нажила,йа,1) бот. чеснок; йекIейо нажи острый чеснок; нажи йицал чистить чеснок; нажи йишелал толочь чеснок 2) кул. приправа из чеснока; нажи йовал делать приправу из чеснока; хокIа нажилаъ гицIлал макать хинкал в чесночную приправу; см. нези (хаш.)
1862,назали,IV,назалийа,йа,"назали (1.  каменная плита, установленная на месте гибели человека 2. камень или плита на месте привала во время перевозки покойника)"
1863,назму,III,назмули,йа,"уст. поэма,  стихотворение"
1864,наиб,I,наибла,ли,уст. наиб
1865,наиблъи,IV,наиблъила,ли,"уст. должность наиба, наибство; наиблъи йовал исполнять обязанности наиба; работать в должности наиба"
1866,найабер,III,найаберли,ла,ноябрь; найаберлис паразникла ноябрьские праздники; найаберлиъ аьнйддāьш онз гӯйо в ноябре выпал первый снег
1867,нако,III,наколи,ва,"мелодия, мотив; музыка, напев; нако багъоллал напевать мотив; наколхъа энекзи ахъал слушать музыку (мелодию); см. макъан"
1868,накIос,III,накIосли,ла,"уст. фольк. мизинец; накIосли нисона гей до цIогькьа мекьаллIо мизинец сказал, что он пойдет воровать (из сказки); см. наькIи"
1869,напакъа,III,напакъали,ла,подаяние; напакъа нилIал дать подаяние; напакъа михъал получить подаяние
1870,нартав,I,нартавли,ла,этн. нарт (сказочный великан)
1871,насигьат,III,насигьатли,ла,"наставление, назидание; абос насигьат отцовское наставление; насигьат бовал (// нилIал) поучать, давать наставления (букв. наставления делать, давать)"
1872,насилкIа,IV,насилкIали,а,носилки; насилкIалкьа гулал положить на носилки; насилкIāкьа йезал нести на нон силках; см. лIо
1873,наскIи,III,наскIила,йа,носки; ицIцIā наскIийа новые носки; наскIийа низабāл постирать носки; наскIийа гийахал надеть носки; наскIийа йāгъал снять носки
1874,насло,III,наслола,ва,"1) потомство, потомок; поколение; оьлаьб насло молодое поколение; наслолал иле шоьваьъаьъаьш потомки нас не забудут; муьгъаьттāь насло бечаннейэш не оставил потомства 2) дети; муьгъаьттāь насло гаьччоь сукIо бездетный человек"
1875,натIугь,III,натIугьли,ва,"кул. козинаки, халва из орехов или абрикосовых косточек; натIугь бовал приготовить халву haxo IV (ли) 1) бот. солома; хъибас нахо пшеничная солома; онхлас нахо ячменная солома 2) мякина; гьаьймаьллил нахо нилIал (// гуъал) дать мякину скоту ♦ нахокьа мигьнацой беззаботно, спокойно, удобно [букв. как птица на сене (сидеть)]; нахос йоцIийо къаьм дурья башка, пустая голова, пустозвон, тупица (букв. голова полная соломой); нахос къаьм дурья башка, пустая голова, пустозвон, тупица (букв. голова из соломы) ▲"
1876,нахерхи,III,нахерхийа,ва,опилки; нахерхилас кьокькьо доска из опилок;  259 нахерхи татоъ лъицIлал (гулал) добавить опилки в глиняный раствор
